epoch,acc,loss,lr,val_acc,val_loss
0,0.183008812563,16.1468774241,0.0001,0.244915018119,14.0242236274
1,0.217841095126,12.7882652858,0.0001,0.246029534698,11.3815599943
2,0.230345884573,10.3971805694,0.0001,0.245750905553,9.33231048074
3,0.246090076285,8.56437505419,0.0001,0.247144051272,7.74364778012
0,0.193458497328,16.222446276,0.0001,0.244915018111,14.2363953111
1,0.214497196006,13.0380971345,0.0001,0.244915018111,11.6205181189
2,0.227559301952,10.6480545962,0.0001,0.24686542214,9.56160124871
3,0.234142603349,8.76361806135,0.0001,0.246029534706,7.90581010636
4,0.260057821591,7.28662814356,0.0001,0.289217052137,6.60767157492
0,0.186840363644,16.2333680838,0.0001,0.244915018119,14.2257206482
0,0.189139294306,2.34161631768,0.0001,0.244915018115,1.84391132667
1,0.217353443163,1.99140821631,0.0001,0.245472276404,1.84664267509
0,0.201678916025,2.03168190467,0.0001,0.244915018115,1.82932529113
1,0.231042530225,1.8760932367,0.0001,0.251323488441,1.8111141391
2,0.261242119177,1.8272806855,0.0001,0.275285594873,1.77515757821
3,0.30586227316,1.74622571116,0.0001,0.250487601003,1.90649674579
4,0.34818349646,1.66492684424,0.0001,0.344942881034,1.64919492915
5,0.380891009784,1.6001451867,0.0001,0.361103371417,1.67467503024
6,0.407537705942,1.53884107544,0.0001,0.38645862358,1.59124166815
7,0.427078616472,1.48589904013,0.0001,0.411256617446,1.52263733682
8,0.447977986008,1.43738562532,0.0001,0.443298969076,1.45302861379
9,0.462363718693,1.40671531353,0.0001,0.444692114799,1.47148772902
10,0.474659514448,1.37726545813,0.0001,0.464196154922,1.41263881913
11,0.484064230722,1.3539741214,0.0001,0.477013095603,1.37690511046
12,0.500191577579,1.31737622516,0.0001,0.46837559212,1.37249067501
13,0.507367027757,1.30327506009,0.0001,0.496795764837,1.35548597833
14,0.516632414915,1.27842088295,0.0001,0.509891334667,1.31908613492
15,0.524818001322,1.25840468013,0.0001,0.483700195074,1.3488524461
16,0.535929499477,1.24071314055,0.0001,0.497353023159,1.34683798418
17,0.54282629142,1.21657615441,0.0001,0.49902479801,1.37330530556
18,0.559998606692,1.17444124006,1e-05,0.550292560618,1.22456419916
19,0.567940367165,1.15610070611,1e-05,0.553636110354,1.22554617164
20,0.570308962344,1.14680447609,1e-05,0.549456673201,1.23245652093
21,0.571179769403,1.148097541,1e-05,0.54332683202,1.22925519731
22,0.576927095995,1.13691376961,1e-06,0.561716355539,1.21714616974
23,0.57744958024,1.12964440794,1e-06,0.552521593767,1.22669079849
24,0.573757358303,1.13327413716,1e-06,0.553636110354,1.22601114568
25,0.580270995121,1.12440813131,1e-06,0.555307885213,1.21653696354
26,0.575464140179,1.13032792129,1e-06,0.555865143527,1.22330397186
27,0.577275418848,1.127553936,1e-06,0.555029256093,1.20976748788
28,0.576056288973,1.12374504314,1e-06,0.556979660106,1.2078854329
29,0.580863143931,1.13067644848,1e-06,0.55001393149,1.21253654857
30,0.578250722774,1.12993391662,1e-06,0.556979660106,1.21479302206
31,0.579713678633,1.12497599291,1e-06,0.556979660106,1.22008160141
32,0.577310251166,1.13373746182,1e-07,0.561437726419,1.22881556992
33,0.577588909405,1.13017625962,1e-07,0.554750626949,1.21197389284
34,0.580549653437,1.12572700637,1e-07,0.549178044057,1.21368959668
35,0.576578773226,1.12596716059,1e-07,0.550013931474,1.222537605
36,0.578076561361,1.12489595285,1e-07,0.551407077197,1.22309589702
37,0.581037305337,1.12335722586,1e-07,0.553357481226,1.22214783603
38,0.578912536143,1.12861323141,1e-07,0.5564224018,1.22125239799
